StudentID,Gender,StudyHoursPerWeek,AttendancePercent,SleepHoursPerNight,PartTimeJob,ParentalEducation,ExtraClasses,PreviousGPA,FinalExamScore,Result
STU176,Male,18.4,82.5,7.2,No,Bachelors,Yes,6.25,41.6,Fail
STU177,Female,17.4,84.6,6.2,No,Masters,No,9.21,77.5,Pass
STU178,Male,17.5,73,5.9,No,Masters,Yes,7.15,74.6,Pass
STU179,Female,13.9,88.4,7,Yes,Masters,No,6.6,38.1,Fail
STU180,Male,9.1,65.4,5.6,No,Bachelors,No,7.2,43.4,Fail
STU181,Male,14.4,81.3,7.3,No,Bachelors,No,5.52,63.6,Pass
STU182,Male,10.3,69.9,4.8,No,Bachelors,No,5.93,68.9,Pass
STU183,Female,19.4,75.5,8,No,PhD,Yes,8.32,73.9,Pass
STU184,Female,13.2,82.5,7.4,No,High School,No,6.28,53.1,Pass
STU185,Male,9.5,73.4,7.1,No,Masters,No,5.85,49.9,Pass
STU186,Female,12.2,78.2,8,No,Bachelors,No,7.59,73.8,Pass
STU187,Female,16.3,92.1,8.8,No,Bachelors,No,8.3,65.7,Pass
STU188,Female,10.9,76.2,8,No,Masters,No,7.79,53,Pass
STU189,Male,9.5,90.4,4.6,No,Bachelors,Yes,8.1,60.9,Pass
STU190,Male,15.3,70.7,5.3,No,Masters,Yes,6.17,51.3,Pass
STU191,Male,15.3,87.3,6.1,Yes,Masters,No,5.44,57.2,Pass
STU192,Female,11.2,96.4,6.8,No,Bachelors,No,8.65,83.5,Pass
STU193,Female,11.4,57.3,7.4,No,High School,No,6.65,54.8,Pass
STU194,Female,15.3,74,5.9,Yes,Bachelors,No,6.72,54.2,Pass
STU195,Male,6,87.8,7,No,Masters,Yes,8.46,60.9,Pass
STU196,Male,6.3,80,5.9,Yes,High School,Yes,7.61,40.6,Fail
STU197,Female,10,85.7,6.1,No,Bachelors,No,7.5,68.4,Pass
STU198,Female,12.8,76,5.1,No,Bachelors,Yes,9.38,68.5,Pass
STU199,Female,15.7,82.9,5.7,Yes,Masters,No,6.29,56.2,Pass
STU200,Female,22.1,80.4,5.2,No,High School,No,8.02,100,Pass
